LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Weeks ,Hours WorkedWeekly
JPN,HRWKD,TOT,HR_WKD,A,2019,1644,52,32.30769231
KOR,HRWKD,TOT,HR_WKD,A,2015,2083,52,31.61538462
KOR,HRWKD,TOT,HR_WKD,A,2016,2068,52,40.05769231
KOR,HRWKD,TOT,HR_WKD,A,2017,2018,52,39.76923077
KOR,HRWKD,TOT,HR_WKD,A,2018,1993,52,38.80769231
KOR,HRWKD,TOT,HR_WKD,A,2019,1967,52,38.32692308
LUX,HRWKD,TOT,HR_WKD,A,2015,1514,52,37.82692308
LUX,HRWKD,TOT,HR_WKD,A,2016,1513,52,29.11538462
LUX,HRWKD,TOT,HR_WKD,A,2017,1507,52,29.09615385
LUX,HRWKD,TOT,HR_WKD,A,2018,1506,52,28.98076923
LUX,HRWKD,TOT,HR_WKD,A,2019,1506,52,28.96153846
MEX,HRWKD,TOT,HR_WKD,A,2015,2140,52,28.96153846
MEX,HRWKD,TOT,HR_WKD,A,2016,2146,52,41.15384615
MEX,HRWKD,TOT,HR_WKD,A,2017,2148,52,41.26923077
MEX,HRWKD,TOT,HR_WKD,A,2018,2149,52,41.30769231
MEX,HRWKD,TOT,HR_WKD,A,2019,2137,52,41.32692308
NLD,HRWKD,TOT,HR_WKD,A,2015,1426,52,41.09615385
NLD,HRWKD,TOT,HR_WKD,A,2016,1437,52,27.42307692
NLD,HRWKD,TOT,HR_WKD,A,2017,1435,52,27.63461538
NLD,HRWKD,TOT,HR_WKD,A,2018,1431,52,27.59615385
NLD,HRWKD,TOT,HR_WKD,A,2019,1434,52,27.51923077
NZL,HRWKD,TOT,HR_WKD,A,2015,1751,52,27.57692308
NZL,HRWKD,TOT,HR_WKD,A,2016,1751,52,33.67307692
NZL,HRWKD,TOT,HR_WKD,A,2017,1752,52,33.67307692
NZL,HRWKD,TOT,HR_WKD,A,2018,1754,52,33.69230769
NZL,HRWKD,TOT,HR_WKD,A,2019,1779,52,33.73076923
NOR,HRWKD,TOT,HR_WKD,A,2015,1392,52,34.21153846
NOR,HRWKD,TOT,HR_WKD,A,2016,1394,52,26.76923077
NOR,HRWKD,TOT,HR_WKD,A,2017,1381,52,26.80769231
NOR,HRWKD,TOT,HR_WKD,A,2018,1383,52,26.55769231
NOR,HRWKD,TOT,HR_WKD,A,2019,1384,52,26.59615385
POL,HRWKD,TOT,HR_WKD,A,2015,1829,52,26.61538462
POL,HRWKD,TOT,HR_WKD,A,2016,1831,52,35.17307692
POL,HRWKD,TOT,HR_WKD,A,2017,1812,52,35.21153846
POL,HRWKD,TOT,HR_WKD,A,2018,1787,52,34.84615385
POL,HRWKD,TOT,HR_WKD,A,2019,1806,52,34.36538462
PRT,HRWKD,TOT,HR_WKD,A,2015,1732,52,34.73076923
PRT,HRWKD,TOT,HR_WKD,A,2016,1737,52,33.30769231
PRT,HRWKD,TOT,HR_WKD,A,2017,1727,52,33.40384615
PRT,HRWKD,TOT,HR_WKD,A,2018,1722,52,33.21153846
PRT,HRWKD,TOT,HR_WKD,A,2019,1719,52,33.11538462
SVK,HRWKD,TOT,HR_WKD,A,2015,1754,52,33.05769231
SVK,HRWKD,TOT,HR_WKD,A,2016,1740,52,33.73076923
SVK,HRWKD,TOT,HR_WKD,A,2017,1714,52,33.46153846
SVK,HRWKD,TOT,HR_WKD,A,2018,1704,52,32.96153846
SVK,HRWKD,TOT,HR_WKD,A,2019,1695,52,32.76923077
ESP,HRWKD,TOT,HR_WKD,A,2015,1694.2,52,32.59615385
ESP,HRWKD,TOT,HR_WKD,A,2016,1701.5,52,32.58076923
ESP,HRWKD,TOT,HR_WKD,A,2017,1689.5,52,32.72115385
ESP,HRWKD,TOT,HR_WKD,A,2018,1695.5,52,32.49038462
